#   <copyright 
#    notice="oco-source" 
#    pids="5724-H72,5655-R36,5655-L82,5724-L26," 
#    years="1997,2012" 
#    crc="338574817" > 
#    IBM Confidential 
#     
#    OCO Source Materials 
#     
#    5724-H72,5655-R36,5655-L82,5724-L26, 
#     
#    (C) Copyright IBM Corp. 1997, 2012 
#     
#    The source code for the program is not published 
#    or otherwise divested of its trade secrets, 
#    irrespective of what has been deposited with the 
#    U.S. Copyright Office. 
#    </copyright> 
#  %Z% %W% %I% %E% %U%
#________________________________________________________________________
#
# (C) COPYRIGHT International Business Machines Corp. 1997
#     All Rights Reserved
#
#________________________________________________________________________
#
# Name:            Mapping table from IBM CCSID 930 to ISO 10646
#
# Creation date:   Fri Apr 25 15:03:10 1997
#
# Table Version:   
#
# Table Owner:     NLTC, IBM Canada Ltd.
#
# Table Format:
#                  Columns separated by spaces:
#                    Col1: (pos.  1-4  ) IBM CCSID 930 code in hex
#                    Col2: (pos. 14-17 ) ISO 10646 code in hex
#                    Col3: (pos. 27-34 ) IBM GCGID
# Substitution  :
#             U+001A     for SBCS
#             U+FFFD     for DBCS
#
# Extracted by:    dextract (Version 1.00)
#
# Extracted from:  IBMJ2UCS.NNEW111
#
# PUA used:        NO
#
# Round-Trip:      YES
#
# Sorting:         The entries are in IBM CCSID 930 order
#
#________________________________________________________________________
# IBM-930    UCS-2        GCGID
447D         3013         SS750080
447E         2025         SV430080
447F         2026         SV440080
4481         3042         RA000080
4482         3044         RI000080
4483         3046         RU000080
4484         3048         RE000080
4485         304A         RO000080
4486         304B         RK100080
4487         304D         RK200080
4488         304F         RK300080
4489         3051         RK400080
448A         3053         RK500080
448C         3055         RS100080
448D         3057         RS200080
448E         3059         RS300080
448F         305B         RS400080
4490         305D         RS500080
4491         305F         RT100080
4492         3061         RT200080
4493         3064         RT300080
4494         3066         RT400080
4495         3068         RT500080
4496         306A         RN100080
4497         306B         RN200080
4498         306C         RN300080
4499         306D         RN400080
449A         306E         RN500080
449D         306F         RH100080
449E         3072         RH200080
449F         3075         RH300080
44A2         3078         RH400080
44A3         307B         RH500080
44A4         307E         RM100080
44A5         307F         RM200080
44A6         3080         RM300080
44A7         3081         RM400080
44A8         3082         RM500080
44A9         3084         RY100080
44AA         3086         RY300080
44AC         3088         RY500080
44AD         3089         RR100080
44AE         308A         RR200080
44AF         308B         RR300080
44BA         308C         RR400080
44BB         308D         RR500080
44BC         308F         RW100080
44BD         3093         RN000080
44C0         304C         RG100080
44C1         304E         RG200080
44C2         3050         RG300080
44C3         3052         RG400080
44C4         3054         RG500080
44C5         3056         RZ100080
44C6         3058         RZ200080
44C7         305A         RZ300080
44C8         305C         RZ400080
44C9         305E         RZ500080
44CA         3060         RD100080
44CB         3062         RD200080
44CC         3065         RD300080
44CD         3067         RD400080
44CE         3069         RD500080
44CF         3070         RB100080
44D0         3073         RB200080
44D1         3076         RB300080
44D2         3079         RB400080
44D3         307C         RB500080
44D5         3071         RP100080
44D6         3074         RP200080
44D7         3077         RP300080
44D8         307A         RP400080
44D9         307D         RP500080
44DA         3090         RW200080
44DB         3091         RW400080
44DC         309D         RQ750080
44DD         309E         RQ760080
44E0         25CB         SM750080
44E1         25CF         SM580080
44E2         25B3         SM730080
44E3         25B2         SM600080
44E4         25CE         SM810080
44E5         2606         SS570080
44E6         2605         SS580080
44E7         25C7         SA660080
44E8         25C6         SM610080
44E9         25A1         SM450080
44EA         25A0         SM470080
